Student_ID,Gender,Branch,Graduation_Year,Class_10_Percentage,Class_12_Percentage,CGPA,Active_Backlogs,Internship,Projects,Certifications,Placement_Status,Company,Job_Role,Package_LPA,Placement_Type,Placement_Season,Location
ENG0001,Female,Computer Science & Engineering,2025,90.45,95.53,8.55,1,No,0,1,Placed,Accenture,Data Analyst,7.83,On-Campus,December,Bengaluru
ENG0002,Male,Electronics & Communication Engineering,2023,75.96,79.74,6.44,1,Yes,1,2,Placed,EXL,Business Analyst,12.41,On-Campus,October,Kolkata
ENG0003,Female,Computer Science & Engineering,2025,60.08,66.52,5.5,2,No,2,0,Not Placed,,,0,,,
ENG0004,Female,Computer Science & Engineering,2024,67.86,79.3,6.86,1,Yes,2,0,Placed,Accenture,Business Analyst,7.46,On-Campus,December,Bengaluru
ENG0005,Male,Electrical Engineering,2021,93.37,93.32,7.67,1,No,2,0,Not Placed,,,0,,,
ENG0006,Female,Electronics & Communication Engineering,2025,78.79,79.57,7.56,0,Yes,4,2,Placed,Tiger Analytics,Business Analyst,14.49,On-Campus,February,Hyderabad
ENG0007,Female,Architecture,2023,75.99,87.36,7.51,2,Yes,2,0,Not Placed,,,0,,,
ENG0008,Female,Information Technology,2021,95.14,92.16,7.6,1,Yes,3,2,Placed,Atlassian,Data Engineer,26.51,On-Campus,September,Delhi NCR
ENG0009,Male,Mechanical Engineering,2022,92.12,86.96,6.94,0,No,5,1,Not Placed,,,0,,,
ENG0010,Male,Electronics & Communication Engineering,2024,82.2,75.78,6.99,1,Yes,4,3,Placed,Cognizant,Software Engineer,5.99,On-Campus,November,Delhi NCR
ENG0011,Male,Mechanical Engineering,2021,79.65,84.66,6.21,0,No,2,1,Placed,Tata Power,Mechanical Engineer,8.83,Off-Campus,February,Chennai
ENG0012,Female,Electrical Engineering,2022,80.94,89.37,8.23,0,No,2,2,Placed,Google,Software Engineer,26.23,On-Campus,September,Delhi NCR
ENG0013,Female,Electronics & Communication Engineering,2021,83.82,82.51,7.58,0,Yes,3,3,Placed,Capgemini,Business Analyst,6.55,On-Campus,November,Ahmedabad
ENG0014,Female,Chemical Engineering,2023,94.8,98,9.42,0,Yes,3,1,Placed,ONGC,Graduate Engineer Trainee,9.2,On-Campus,February,Mumbai
ENG0015,Male,Information Technology,2023,85.38,70.24,6.32,0,Yes,2,1,Not Placed,,,0,,,
ENG0016,Male,Computer Science & Engineering,2023,87.81,85.47,7.94,1,Yes,0,1,Not Placed,,,0,,,
ENG0017,Male,Mechanical Engineering,2022,91.35,88.23,9.29,0,Yes,3,1,Placed,Bosch,Mechanical Engineer,7.3,Pool Campus,March,Hyderabad
ENG0018,Male,Civil Engineering,2021,72.64,69.39,6.13,1,No,1,1,Not Placed,,,0,,,
ENG0019,Female,Computer Science & Engineering,2024,88.04,98,8.37,0,Yes,0,1,Placed,Adobe,Data Engineer,30.41,On-Campus,August,Coimbatore
ENG0020,Female,Electronics & Communication Engineering,2023,79.64,79.27,6.47,2,No,0,0,Not Placed,,,0,,,
ENG0021,Female,Architecture,2024,61.87,63.55,5.32,2,No,1,0,Not Placed,,,0,,,
ENG0022,Male,Mechanical Engineering,2021,64.97,68.91,6.81,1,No,1,0,Placed,L&T,Mechanical Engineer,8.84,On-Campus,February,Coimbatore
ENG0023,Female,Chemical Engineering,2021,73.86,61.37,6.8,0,No,8,0,Placed,BASF,Graduate Engineer Trainee,8.74,On-Campus,November,Bengaluru
ENG0024,Female,Electronics & Communication Engineering,2022,86.25,79.37,6.86,0,Yes,2,1,Placed,Deloitte,Business Analyst,10.82,On-Campus,September,Delhi NCR
ENG0025,Female,Mechanical Engineering,2023,82.91,89.07,7.17,2,No,1,0,Not Placed,,,0,,,
ENG0026,Male,Information Technology,2023,83.47,78.2,6.82,1,Yes,5,5,Placed,TCS,Data Analyst,7.38,On-Campus,January,Kolkata
ENG0027,Male,Chemical Engineering,2025,97.61,87.4,7.76,2,No,0,0,Not Placed,,,0,,,
ENG0028,Male,Information Technology,2023,71.85,83.05,6.97,0,No,0,3,Placed,Cognizant,Software Engineer,8.1,Off-Campus,October,Noida
ENG0029,Male,Mechanical Engineering,2023,81.78,90.72,7.76,0,No,3,3,Placed,Mahindra & Mahindra,Graduate Engineer Trainee,12.15,On-Campus,March,Mumbai
ENG0030,Female,Electronics & Communication Engineering,2024,84.44,86.95,8.37,0,Yes,2,0,Placed,Mu Sigma,Data Analyst,9.24,Off-Campus,January,Hyderabad
ENG0031,Female,Electrical Engineering,2021,76.11,73.9,6.5,1,No,1,0,Placed,ABB,Electrical Engineer,7.16,Off-Campus,March,Ahmedabad
ENG0032,Female,Mechanical Engineering,2023,82.23,79.99,7.56,1,No,0,2,Placed,Siemens,Graduate Engineer Trainee,5.5,On-Campus,February,Ahmedabad
ENG0033,Male,Electronics & Communication Engineering,2023,69.2,66.27,6.67,1,Yes,3,2,Placed,Infosys,Business Analyst,5.7,On-Campus,November,Coimbatore
ENG0034,Male,Architecture,2023,93.28,83,6.94,0,Yes,7,2,Placed,L&T,Architect,7.03,On-Campus,February,Bengaluru
ENG0035,Male,Electronics & Communication Engineering,2021,76.55,70.1,5.94,0,No,2,1,Not Placed,,,0,,,
ENG0036,Male,Electrical Engineering,2024,98.25,89.36,7.76,0,No,0,2,Placed,Havells,Graduate Engineer Trainee,8.84,Pool Campus,March,Pune
ENG0037,Male,Information Technology,2025,81.74,74.06,7.44,0,No,3,1,Placed,Cognizant,Data Analyst,7.7,On-Campus,March,Mumbai
ENG0038,Male,Electronics & Communication Engineering,2021,90.22,76.72,7.02,1,No,0,2,Placed,Schneider Electric,Civil Engineer,8.09,Off-Campus,November,Pune
ENG0039,Male,Electronics & Communication Engineering,2024,81.57,82.72,6.81,0,No,0,0,Not Placed,,,0,,,
ENG0040,Female,Computer Science & Engineering,2024,81.75,82.96,7.78,0,Yes,1,2,Placed,Google,DevOps Engineer,22.39,On-Campus,September,Mumbai
ENG0041,Male,Computer Science & Engineering,2022,77.33,89.9,6.66,0,No,0,0,Not Placed,,,0,,,
ENG0042,Female,Mechanical Engineering,2024,82.95,77.54,7.26,2,No,1,0,Not Placed,,,0,,,
ENG0043,Female,Mechanical Engineering,2024,84.54,85.48,7.31,0,No,1,1,Not Placed,,,0,,,
ENG0044,Male,Mechanical Engineering,2025,75.73,78.98,7.04,0,Yes,2,1,Placed,Siemens,Graduate Engineer Trainee,7.41,Pool Campus,January,Ahmedabad
ENG0045,Female,Computer Science & Engineering,2025,81,78.97,7.17,1,Yes,5,1,Placed,Capgemini,Business Analyst,5.05,On-Campus,January,Chennai
ENG0046,Female,Information Technology,2021,77.12,83.05,7.72,0,Yes,3,1,Placed,TCS,Business Analyst,5.22,Off-Campus,September,Chennai
ENG0047,Male,Computer Science & Engineering,2023,99,98,7.69,0,Yes,1,1,Placed,ZS Associates,Data Analyst,15.59,On-Campus,September,Noida
ENG0048,Male,Mechanical Engineering,2023,81.28,83.25,7.43,0,Yes,3,2,Placed,Ashok Leyland,Graduate Engineer Trainee,10.68,Off-Campus,March,Pune
ENG0049,Female,Civil Engineering,2021,94.36,88.98,8.45,0,Yes,1,3,Placed,DLF,Graduate Engineer Trainee,7.2,Pool Campus,December,Pune
ENG0050,Male,Information Technology,2023,80.44,77.82,6.19,0,No,0,0,Not Placed,,,0,,,
ENG0051,Male,Mechanical Engineering,2025,84.07,73.48,7.81,0,Yes,2,4,Placed,Ashok Leyland,Mechanical Engineer,8.83,On-Campus,January,Bengaluru
ENG0052,Male,Computer Science & Engineering,2021,71.43,67.93,5,1,Yes,0,0,Placed,Infosys,Data Analyst,7.12,Off-Campus,November,Hyderabad
ENG0053,Female,Information Technology,2023,78.42,74.46,7.17,0,Yes,0,1,Placed,Deloitte,Business Analyst,7.95,Pool Campus,August,Pune
ENG0054,Female,Computer Science & Engineering,2025,83.68,74.9,6.93,0,No,1,0,Placed,Infosys,Software Engineer,5.11,On-Campus,October,Kolkata
ENG0055,Female,Information Technology,2022,94.69,94.1,8.17,2,Yes,0,2,Not Placed,,,0,,,
ENG0056,Female,Mechanical Engineering,2023,83.78,91.21,7.85,2,Yes,1,3,Not Placed,,,0,,,
ENG0057,Male,Architecture,2025,93.07,83.45,7.64,0,Yes,1,0,Placed,DLF,Architect,11.41,On-Campus,February,Noida
ENG0058,Male,Computer Science & Engineering,2023,87.13,87.33,6.28,0,No,1,0,Not Placed,,,0,,,
ENG0059,Male,Electrical Engineering,2021,95.02,84.03,7.77,0,Yes,4,1,Placed,PhonePe,Data Analyst,12.81,On-Campus,August,Delhi NCR
ENG0060,Male,Mechanical Engineering,2021,81.53,79.01,6.95,2,Yes,2,3,Not Placed,,,0,,,
ENG0061,Female,Chemical Engineering,2025,99,89.42,7.46,0,No,1,2,Not Placed,,,0,,,
ENG0062,Male,Electrical Engineering,2022,78.12,82.8,7.25,0,Yes,0,1,Placed,Schneider Electric,Graduate Engineer Trainee,7.54,On-Campus,January,Delhi NCR
ENG0063,Male,Information Technology,2023,75.87,72.15,6.59,0,Yes,2,3,Placed,Accenture,Data Analyst,6.35,On-Campus,October,Mumbai
ENG0064,Female,Electrical Engineering,2021,72.32,81.32,7.21,1,No,0,1,Not Placed,,,0,,,
